x_0,x_1,x_2,x_3,x_4,x_5,x_6,y
343023,1059674,106436,-23669,-225691,1035475,-181269,-2060398
450176,906674,192473,-17678,-207077,884849,-281663,-2053397
185272,1163680,83318,-29495,-201871,1138631,-119323,-2053308
372029,1011017,190762,-19547,-142398,986608,-259053,-2051799
307810,1115172,89826,-33472,-206605,1093433,-157947,-2047415
277341,1021960,132403,-26396,-218386,1000177,-184988,-2046862
501964,836730,307132,-17593,-85021,817145,-390776,-2040798
179319,801127,354056,-18518,-95254,783105,-342192,-2039579
525907,1103422,88226,-25305,-185944,1078511,-215761,-2033282
360970,973845,197791,-31914,-146992,956030,-261882,-2033074
147948,888994,257382,-21141,-159565,869252,-253528,-2032831
425395,1035535,280816,-31459,21568,1015513,-348193,-2030750
375702,1201106,63458,-33030,-148480,1176377,-154495,-2028402
487276,1191940,53517,-33641,-156316,1167776,-176507,-2027627
167568,1175310,103466,-18586,-155077,1145134,-131228,-2025972
274508,978250,193898,-21180,-155678,955619,-235209,-2019690
387664,1218887,186126,-24963,24729,1190068,-259449,-2018842
361192,1070549,115303,-26342,-177618,1047159,-193547,-2018515
364354,1070280,147024,-18714,-136529,1043579,-220707,-2015207
531896,1202468,141430,-19262,-28177,1171702,-261500,-2014750
515868,1077196,57406,-24687,-229898,1052870,-187485,-2013154
492465,733622,246097,-20112,-222824,718490,-337593,-2013048
519220,1129354,83487,-33315,-145493,1107086,-210019,-2010720
156107,1069124,166961,-29758,-127999,1047268,-180768,-2008433
491513,1075047,251290,-32392,26867,1054145,-341641,-2008185
547311,1171912,309540,-21516,179923,1143122,-405069,-2004954
227456,932969,223099,-28310,-133558,914916,-246662,-2004494
257893,1000535,108631,-30395,-236406,981190,-160004,-2004118
504983,921535,136770,-28462,-221852,903920,-250339,-1999773
477371,1072999,122086,-28172,-142438,1050327,-230675,-1996547
346579,1154005,184396,-28405,-12815,1128796,-246874,-1995112
464978,1073927,147022,-18124,-102680,1046851,-247990,-1990068
330382,1157333,68727,-22023,-162108,1129238,-146575,-1989597
273412,894705,167778,-32315,-221941,879641,-213254,-1985333
170595,1163780,21746,-31773,-235464,1139720,-64290,-1979057
331184,914589,204935,-29904,-138573,897828,-259729,-1978031
236420,1100869,61538,-33461,-216437,1079591,-115134,-1977836
175530,970751,209833,-25594,-133160,950286,-221582,-1977332
349523,1210733,307764,-19383,192294,1179750,-349963,-1969046
173386,825456,337902,-19454,-55523,807048,-327189,-1967526
224430,1165263,117239,-21270,-100310,1136582,-158068,-1965655
267889,1088808,196777,-27072,-34896,1065142,-235801,-1965455
454072,1085860,39765,-27635,-228859,1062535,-156101,-1965061
273871,1210665,63153,-19903,-134955,1179911,-126628,-1964307
472530,1090619,133447,-21248,-95079,1064359,-238783,-1962851
560448,1132184,24195,-29075,-199447,1107978,-172037,-1960025
364778,1221417,211572,-22944,100575,1191637,-274342,-1959599
197170,931795,160546,-20267,-205522,910279,-186583,-1959389
162857,1171080,17395,-20899,-221820,1142048,-58585,-1951991
181734,990787,271483,-22038,-12559,968122,-274381,-1950447
305453,821769,251294,-17427,-144863,802599,-291191,-1948883
332164,1210467,-4561,-30288,-199881,1184240,-86290,-1944467
253668,831854,206581,-17059,-204379,812196,-240074,-1940735
511211,1181752,34158,-24597,-140424,1153983,-166946,-1936670
308714,1169824,98261,-17870,-97555,1139515,-165187,-1933905
295743,930714,268914,-20474,-35133,909324,-303167,-1933675
507661,1000294,284828,-31824,66775,981579,-373827,-1932253
232853,1006413,172715,-21405,-124083,982962,-206349,-1932111
473022,864348,216116,-26907,-126184,847918,-307461,-1926719
272478,1190356,126456,-20729,-46035,1160623,-178739,-1926036
149476,1168840,133376,-33119,-58957,1145201,-151122,-1925928
344242,1132969,276810,-19463,121265,1104553,-322865,-1922284
156311,899698,153974,-19472,-220508,878882,-170055,-1920092
293054,1008785,182070,-30773,-72085,989336,-230431,-1917143
186206,943370,146945,-33059,-182792,927046,-172333,-1909923
497792,1060847,28749,-22085,-210000,1035920,-158822,-1909423
250621,902696,146175,-19928,-212960,881979,-189162,-1907489
357438,1106255,51430,-29802,-175190,1083210,-139569,-1906181
164457,898326,282822,-29055,-33051,881725,-279098,-1904400
515755,1174641,61470,-17370,-92442,1143957,-190824,-1904316
261285,877439,473429,-21598,208575,858273,-463397,-1902139
361230,1212220,-39624,-23051,-212543,1182786,-65100,-1898095
189164,1047206,101038,-22893,-166403,1023075,-135071,-1895092
558892,1116660,98488,-26612,-80881,1091887,-233215,-1894607
264067,1069028,150789,-20745,-75357,1043252,-196633,-1893627
301690,1125484,136815,-24792,-40889,1099632,-195249,-1890503
423398,1044319,88719,-28239,-141762,1022610,-188374,-1888049
557924,1134681,59370,-18557,-111483,1105815,-200518,-1886315
442166,1148541,44455,-25442,-127732,1122221,-156761,-1881740
495901,808691,206706,-20622,-155864,791338,-305864,-1879219
364022,1083742,35850,-29185,-196104,1061161,-128436,-1878513
553950,1068235,41996,-27743,-174945,1045531,-185035,-1875050
395443,1048586,20642,-31664,-225963,1028229,-124347,-1874295
413188,1022387,216338,-25897,17743,1000372,-291420,-1874020
208495,1082201,108987,-17624,-124918,1054638,-146904,-1872303
342179,1207052,73414,-25199,-54585,1178721,-153659,-1871211
382394,499398,316851,-23529,-224480,493380,-366411,-1870973
223091,1102147,38844,-24591,-199437,1076967,-92703,-1870437
226122,1180332,20243,-25568,-155672,1153031,-78102,-1869657
318917,1038428,50303,-21789,-220769,1014103,-128189,-1868627
375325,750223,243750,-20647,-146564,734785,-303882,-1868384
295594,1130773,39204,-22569,-164021,1103781,-112662,-1865452
168540,1219217,16403,-25886,-149511,1190789,-59303,-1862397
299681,1119030,166653,-32829,10701,1096886,-219445,-1861544
373693,803070,154329,-18878,-225090,785141,-229296,-1860835
219006,1103445,22459,-19210,-214937,1075880,-78009,-1859040
416021,842012,247594,-26318,-69370,826053,-318105,-1857924
303379,1003368,114608,-22048,-153801,980297,-177294,-1853320
316124,1218216,17151,-19679,-120130,1187119,-99943,-1852921
314281,997020,51007,-32972,-220180,978911,-127515,-1851476
176303,1002507,109469,-20903,-163396,978966,-138575,-1845067
200389,1191366,115924,-32011,-13572,1166511,-150458,-1841221
263280,999801,123310,-29259,-128941,979985,-173636,-1840527
411675,1212074,253050,-32494,213956,1186754,-321451,-1838178
344804,1131298,128913,-25831,-14391,1105709,-200388,-1837713
227354,752707,206930,-28466,-194446,740591,-233227,-1836968
386475,1033103,125045,-28049,-81376,1011676,-208481,-1835550
244089,873695,249282,-33505,-49521,859834,-272882,-1834234
383290,1209678,-45953,-28248,-179151,1182589,-65834,-1832451
437380,1145985,19307,-32556,-125158,1122845,-134612,-1831127
228726,1220757,27412,-19541,-107102,1189516,-84752,-1830925
164255,1094624,15266,-28591,-212327,1071431,-57199,-1830488
263300,1030422,111496,-33316,-106176,1011375,-163845,-1830301
308098,752491,216447,-17962,-176046,735809,-263014,-1829747
227942,1104957,108894,-29914,-68439,1082002,-152100,-1824482
321810,1178762,34680,-25420,-102385,1151449,-116020,-1821910
336923,1134940,83059,-27946,-65784,1110152,-160231,-1821165
349129,1165581,261245,-18520,191054,1135693,-311285,-1818505
294034,1046827,28888,-17564,-200248,1020389,-103685,-1816053
298005,1214007,-85886,-24226,-237587,1185026,-9597,-1815477
550138,1127095,238468,-33386,164179,1104931,-346906,-1815193
154603,1041017,89491,-23317,-151884,1017273,-116125,-1811967
547373,979108,41561,-25989,-200680,958543,-182890,-1810735
422605,1171593,-53771,-16924,-210478,1140814,-70012,-1809446
282752,798084,197894,-33899,-145132,786856,-240758,-1809181
454689,1182730,53883,-22071,-49218,1153829,-167974,-1808667
268192,1075461,16348,-22300,-208288,1050153,-86280,-1808626
221157,1181688,43667,-30597,-98632,1156533,-96178,-1808220
452551,1211546,-78924,-19064,-213562,1180398,-57277,-1807139
424973,1082817,5528,-19164,-191520,1055903,-119822,-1807124
197275,926689,216752,-25050,-40400,907421,-233215,-1806981
340679,1051923,59207,-20786,-146792,1026722,-141473,-1805999
393868,764910,164312,-33307,-196043,754504,-243044,-1805798
375477,978410,239991,-21487,42112,955908,-300806,-1805686
242013,1141369,203555,-17255,88082,1111719,-234405,-1803875
462606,1155438,-42059,-20441,-196178,1126716,-90570,-1803785
376022,1159901,-6892,-24440,-156340,1132775,-96250,-1802176
477479,1133159,73811,-18365,-57842,1104258,-190677,-1801698
152966,961373,405633,-22499,217175,939865,-377812,-1799844
507966,1201301,-64241,-29427,-179313,1174998,-84479,-1799520
259616,1047152,258627,-19261,103585,1021442,-284841,-1799060
190312,1001865,41457,-23400,-217856,979431,-85980,-1797482
380264,1011044,44261,-25419,-188811,989190,-139815,-1797150
204085,1214728,-54276,-17289,-204997,1182703,-10338,-1797089
185972,912146,255809,-29801,4386,895420,-262535,-1796932
305411,997114,74780,-32494,-153518,978794,-144822,-1796326
460254,980182,131259,-22082,-77161,957881,-233640,-1795810
152823,1113154,263465,-23496,144015,1087139,-259894,-1793920
326164,956509,339937,-20406,161991,934249,-370305,-1793674
285332,1213556,46951,-20647,-48937,1183032,-116302,-1790865
303126,678438,189184,-27359,-232983,668258,-239061,-1787513
216767,1165212,42619,-33062,-93813,1141666,-94118,-1786904
319646,1047645,6849,-32826,-205719,1027824,-92357,-1786289
563043,681796,217981,-28780,-149336,672126,-333419,-1784094
388069,942770,63443,-24074,-198200,922554,-157836,-1782315
473025,1050304,13735,-25773,-185325,1027326,-139658,-1780909
302135,1213440,116255,-23096,56007,1183986,-178322,-1779166
204689,1177528,4338,-33484,-122782,1153765,-59102,-1775427
296227,790319,200577,-34068,-128887,779417,-246636,-1772533
277736,1173992,-38216,-17757,-185487,1143498,-43626,-1772388
162352,1116548,4040,-32425,-172548,1094309,-47375,-1771188
172056,1067751,125234,-25536,-60867,1044102,-150494,-1770798
481487,1184116,162577,-17439,112731,1153153,-265365,-1770294
156043,1097810,32651,-18511,-158476,1070125,-69387,-1769847
298763,928005,102276,-17768,-163636,905525,-165817,-1769601
349849,1029591,104673,-30669,-72559,1009419,-181658,-1768523
455705,844573,183026,-25709,-91929,828266,-275329,-1767524
260550,1207412,48979,-23681,-35560,1178409,-111264,-1766951
201146,1125112,-53843,-30842,-228434,1101905,-9900,-1764538
563446,1204375,-67046,-33761,-151154,1179858,-97197,-1763084
551848,1210873,-56357,-32075,-128623,1185411,-102915,-1763076
464270,1166149,-10394,-23779,-116749,1138531,-117276,-1762410
559605,798943,286492,-21291,21680,782199,-389293,-1761879
176761,1094217,31009,-24217,-160413,1069132,-73643,-1761701
337523,1090863,58368,-18045,-89878,1063201,-139921,-1759685
333696,1100658,-48780,-26894,-228428,1076529,-50041,-1756980
232991,954011,171728,-31162,-51227,936514,-205569,-1756247
465567,1135416,131045,-27178,47663,1110279,-234903,-1756158
187708,1162415,112611,-19921,2495,1133239,-144272,-1755115
211154,578484,368502,-22073,-54955,569257,-362803,-1754094
277887,1104656,-54,-33574,-160277,1083305,-75309,-1753418
168033,763581,216925,-18327,-135895,746698,-225429,-1752922
233473,1060872,35896,-22078,-159162,1035941,-93074,-1752541
301260,1101233,229936,-30307,143313,1078571,-272344,-1752513
385783,1221436,-88239,-26335,-182133,1193131,-31448,-1751767
349592,928625,70972,-30653,-186479,911733,-153645,-1751278
426137,1167922,112605,-18564,46718,1137977,-208921,-1750949
318269,985289,117301,-18059,-92273,961070,-183564,-1750285
386757,1135949,-73010,-29562,-225476,1111832,-44339,-1750131
306132,1032145,29433,-28327,-177503,1010870,-107417,-1750090
242807,1031266,-3279,-28756,-224620,1010207,-63123,-1750041
344633,1173555,-32482,-27529,-138113,1147328,-66521,-1747065
437579,1128501,-830,-23670,-127897,1102062,-117969,-1746474
219607,504831,305759,-21480,-192556,497745,-313071,-1746039
208250,1149393,271046,-28419,220808,1124340,-281209,-1745525
353123,835348,183022,-26044,-103258,819487,-247509,-1745491
431595,1037387,-31352,-33190,-225694,1018058,-91039,-1745482
333641,1111800,121711,-17948,8402,1083414,-191390,-1745366
255257,902815,60837,-29639,-217883,886323,-119661,-1744820
333019,911603,84729,-31775,-174707,895754,-160557,-1743298
253405,739467,203472,-20138,-164760,724156,-237425,-1742796
438136,1094062,-43206,-24067,-205875,1068917,-82984,-1741653
261753,1070968,95993,-34030,-50526,1050912,-150572,-1740558
143207,1081540,225825,-32391,107057,1060426,-226076,-1739503
240312,1164703,-12825,-30173,-145808,1139916,-54531,-1739022
433664,842590,139673,-17970,-139064,822978,-233406,-1734112
239845,801477,251417,-33158,-33989,789815,-273502,-1734036
466904,1149359,6928,-25392,-93291,1122991,-132353,-1733590
243518,567895,299809,-33291,-140543,563897,-314622,-1731864
286295,419232,319878,-33836,-206226,420311,-342862,-1730694
223556,1108391,81399,-20074,-62215,1081041,-128113,-1729315
558541,962243,26845,-31329,-170708,944551,-173716,-1728458
266416,753950,190478,-32711,-141592,743641,-230179,-1728443
235823,930852,270746,-19182,69138,908894,-288437,-1727430
304791,820461,89096,-29985,-235018,806801,-156524,-1727131
306450,1067944,-4500,-18981,-195144,1041436,-79368,-1726342
307047,869813,343805,-27730,137478,853564,-368328,-1726154
212170,1146958,85414,-17639,-18779,1117293,-128355,-1725510
421733,675410,152996,-19838,-237114,662055,-241218,-1720923
319433,565963,249007,-28981,-185036,560151,-293085,-1720599
278361,1219795,72061,-20302,18560,1188917,-135232,-1718120
467933,1191027,-12631,-18297,-67055,1160213,-116416,-1717331
418985,917938,64717,-27064,-175592,899832,-167275,-1717210
465799,1069348,-17332,-23056,-172975,1044568,-111939,-1717152
453418,777745,93688,-17146,-229481,759886,-200634,-1716780
177195,1163221,16097,-25207,-86908,1136321,-61397,-1716412
159147,1030220,29975,-30213,-178537,1009829,-68009,-1715248
480603,668964,170529,-29605,-191954,660071,-271719,-1715045
232031,1015813,126318,-34318,-48554,997678,-167656,-1714225
214424,1094018,-60510,-32104,-236414,1072373,-7973,-1712421
155963,1141230,65027,-18197,-48748,1111994,-96209,-1711685
489879,1177036,-97856,-33224,-185113,1153176,-51702,-1710104
262719,882601,246409,-33060,27417,868256,-275552,-1709059
269997,1189661,8859,-30269,-66422,1164103,-80560,-1708481
436022,799143,292281,-26636,54035,784718,-360581,-1706597
267487,965894,30798,-30963,-199113,947924,-98070,-1706333
499961,947276,27294,-20224,-182088,925237,-158204,-1705204
441805,1173254,127402,-24580,94873,1145754,-225439,-1704862
322548,718674,210003,-21073,-126771,704448,-261590,-1703139
381489,1064007,120735,-23368,7498,1039536,-203555,-1702000
298526,798459,132820,-17895,-184868,780252,-191079,-1700031
434776,1040222,-35704,-24362,-206247,1016958,-88293,-1696106
325458,1096157,10386,-30599,-122006,1073787,-96865,-1695963
502404,775500,227465,-34084,-26068,765087,-324839,-1694298
263003,902493,238487,-32089,39329,887077,-269060,-1692520
360290,1056813,90176,-21117,-38235,1031597,-172469,-1691664
548702,1038180,-29507,-22599,-186432,1014215,-124324,-1690629
254130,1043427,651,-28365,-170124,1021802,-69451,-1684960
261807,794580,132525,-27773,-170517,780799,-180877,-1681470
300788,1138956,-2917,-30616,-98628,1115200,-79145,-1681171
213824,1200440,-72739,-31987,-162632,1175280,2330,-1680490
263048,1096464,-64265,-18356,-230320,1068755,-18044,-1680300
203988,1003731,88453,-27096,-88653,982845,-128656,-1680215
535683,1120970,-59830,-25933,-157908,1095761,-95652,-1680184
215140,1125793,-53248,-30345,-191140,1102348,-14188,-1680090
193174,1168677,115795,-23074,60516,1140671,-148395,-1678458
500178,1116128,-93520,-29495,-208746,1092628,-58090,-1677861
152560,571409,245583,-34105,-190549,567651,-244995,-1677255
239244,1191988,-39753,-26144,-123476,1164559,-31913,-1677244
272362,1135361,102801,-29077,34334,1111052,-159094,-1675144
315834,889282,275050,-28644,98207,872797,-313703,-1674811
307977,1221542,-29435,-18594,-73532,1189864,-59108,-1674699
427997,890379,200102,-19291,7710,869786,-281974,-1674450
234351,1217951,93332,-22248,70266,1187980,-140935,-1674060
486843,1097534,-52680,-22997,-173035,1071810,-88336,-1673978
234065,1194593,-87144,-28777,-180479,1168225,8785,-1673088
212316,1030344,34640,-31852,-132700,1010662,-86295,-1672839
444791,1207445,-124923,-31343,-190630,1181776,-17032,-1671521
284771,1033497,47518,-22485,-112660,1009635,-116620,-1671404
326487,1186076,116864,-33881,106137,1162207,-185431,-1670475
265812,1173888,117546,-32710,80584,1149906,-169543,-1669728
158191,1054078,171364,-33070,51983,1034154,-184983,-1669686
325918,1182200,-60970,-32031,-137821,1157652,-37825,-1669597
161659,1195330,136886,-30572,115671,1169719,-157336,-1667502
258290,971052,199770,-20935,46887,948549,-235680,-1665934
554440,1027490,32437,-23925,-96794,1004450,-177241,-1665272
172285,814401,133329,-33883,-159164,802635,-157269,-1665217
537317,1137275,-54691,-19995,-126383,1108951,-100355,-1664085
316277,1163883,-83383,-25230,-181159,1136970,-16627,-1663396
143652,1200717,-48518,-32033,-130352,1175567,1275,-1663294
205230,1140682,-83124,-33640,-201016,1118186,13271,-1661939
208318,615573,173838,-29250,-232783,608263,-200627,-1661457
221531,977877,115825,-27565,-56772,958038,-156108,-1660172
501265,747158,109480,-18149,-188003,730732,-226702,-1658344
148934,1187709,-110956,-27791,-212551,1161136,51614,-1658319
526366,1004386,-51673,-34284,-204110,986609,-99889,-1657206
164059,813551,72391,-28739,-233009,799573,-104511,-1656064
164010,1072622,37899,-16801,-104538,1045013,-75898,-1654478
410039,1170404,-131292,-21657,-227994,1141724,-2328,-1654353
227240,604308,494895,-32071,191381,598593,-471964,-1651520
514922,1205920,567,-29164,-6808,1179352,-140100,-1651455
265046,1007300,28658,-21622,-150659,983915,-95634,-1651388
360746,1212193,3962,-24356,-10413,1183327,-101107,-1649771
458550,1022082,-22781,-32575,-165054,1002985,-105455,-1649187
300361,1086908,12876,-22473,-96281,1061302,-92124,-1648007
208665,1135327,-95366,-29452,-221694,1111183,22490,-1647519
222941,1002652,309522,-26614,217201,981592,-317096,-1646671
173428,949833,90469,-22423,-114178,928668,-122041,-1644755
412951,799541,132202,-28153,-131530,785764,-221595,-1643625
406336,755110,88045,-28147,-220607,742777,-183188,-1643417
476765,1024773,105272,-19496,1198,999894,-216570,-1642846
527137,1111559,-40915,-32188,-123540,1089379,-109018,-1641959
219662,864972,271773,-23906,68712,847216,-284907,-1641919
235037,1219597,-143555,-24392,-223082,1190506,55294,-1641782
143818,1148873,-111599,-33820,-228893,1126189,53534,-1641537
379371,1192345,113082,-30221,120513,1166679,-196636,-1639287
185010,1059827,-47114,-19423,-215537,1033775,-11104,-1638912
517461,1116059,-62218,-20048,-148567,1088449,-88730,-1635889
429288,1137952,54764,-22113,14685,1110527,-161817,-1635154
539532,1109192,60133,-26009,22354,1084399,-196163,-1635116
401854,944328,837,-29302,-187651,926337,-109664,-1632785
562377,1174547,-75158,-33091,-106054,1150710,-90181,-1632315
214932,1062009,25335,-31524,-99017,1041154,-79289,-1632061
226579,859779,49775,-16859,-221332,839124,-102712,-1631634
502618,1218195,-176171,-23134,-228327,1188602,9779,-1630539
309258,920106,13346,-28540,-204287,902572,-94926,-1628711
289274,1133064,6676,-21027,-63665,1105326,-83977,-1626370
350616,1056001,-32018,-24974,-164551,1032490,-68528,-1625715
564738,1209642,60968,-24849,95442,1181074,-203691,-1622571
374448,878978,175032,-32747,-9351,864614,-246667,-1621709
469923,1145924,-73918,-19553,-147985,1117125,-66138,-1620930
358754,1197237,142591,-21669,168140,1167689,-215512,-1620852
285057,1026678,-20056,-28468,-163510,1005642,-60668,-1619921
177650,1198162,142711,-29510,140872,1171997,-166502,-1619513
421331,976475,-32955,-26007,-203654,956003,-86927,-1619434
541889,688010,81549,-31620,-238014,679373,-214560,-1618353
188810,1150719,-131568,-31024,-236468,1126758,57891,-1618211
280948,1215106,-66150,-30252,-96379,1188712,-21335,-1618112
396044,398096,256611,-24450,-229725,395778,-320164,-1617787
219874,852270,184119,-32185,-29692,838531,-212286,-1616462
396535,880634,3855,-18008,-225634,859801,-110724,-1615433
433600,1078045,13819,-17965,-67383,1050765,-129037,-1615357
427887,804285,104301,-23875,-137300,788491,-202511,-1614368
182699,1098885,-60257,-20538,-187361,1072047,420,-1613294
439985,1146966,-60670,-18945,-117405,1117869,-69005,-1612358
197818,943547,38829,-26305,-165125,924277,-85837,-1612326
424004,698469,123920,-17361,-194694,683285,-217725,-1612269
291414,1166671,-73969,-20916,-138061,1137790,-17690,-1610864
280288,1041415,-18340,-34041,-156354,1022326,-60798,-1610618
363069,1015980,-45151,-21752,-199962,992369,-61015,-1609557
386827,855819,129921,-33619,-59275,842589,-212620,-1609550
259766,1219330,-11572,-19335,-25867,1188047,-60845,-1609311
192731,1051696,241961,-28570,196540,1029890,-252885,-1605135
472934,874361,28837,-17520,-188241,853519,-152154,-1604932
179942,1035539,108473,-26045,-811,1013160,-138735,-1603285
536930,1100428,-40947,-31868,-106268,1078471,-111647,-1601701
366474,1030216,-14193,-30016,-134998,1009739,-87608,-1601350
300694,908176,143532,-28279,-22682,890917,-200549,-1600780
230746,1091985,3046,-29531,-93455,1069286,-65096,-1600293
396145,521793,258039,-19397,-130729,513247,-321376,-1598972
436640,1097169,-79394,-16766,-171346,1068744,-52573,-1598544
548558,1063189,25777,-33161,-37239,1043008,-170124,-1598237
350563,1181283,5883,-31911,-9104,1156713,-99939,-1598167
400081,862669,36630,-28942,-183459,847180,-138861,-1598055
531940,1103022,-97263,-25039,-173614,1078008,-63599,-1597611
401751,871687,34680,-27377,-182499,855223,-137697,-1597577
338361,975466,102748,-24556,-28894,954395,-176946,-1597577
560858,1192950,-98026,-30368,-108725,1167329,-70808,-1596160
509587,1119755,-68964,-23050,-127610,1093330,-81002,-1596039
375174,1012826,-42761,-17620,-192967,987520,-66279,-1595929
229862,974326,-4154,-29543,-178881,955463,-58887,-1595820
415143,583968,231421,-26875,-113376,576654,-304457,-1595803
441117,1102460,-70426,-31352,-149013,1080213,-61223,-1595612
285463,1135443,-131504,-25498,-227223,1109574,31628,-1594926
253179,559558,351033,-30087,6224,554437,-359714,-1594813
197626,789837,317624,-25991,110577,775434,-316949,-1594390
282219,1105902,85746,-25121,36288,1080830,-147625,-1594042
447972,1071737,-58510,-30859,-153354,1050276,-72962,-1593789
263593,1119212,-104272,-27245,-208223,1094631,14980,-1593675
290645,1146722,60708,-27010,29071,1121144,-129150,-1593445
218663,983851,15041,-29412,-144319,964622,-71765,-1592831
414646,1109310,-89295,-21047,-174826,1082355,-38399,-1592814
235686,1071468,26043,-29678,-70450,1049501,-85504,-1591391
182511,825051,80920,-28565,-172005,810622,-116586,-1591168
417715,829469,81300,-21580,-136512,811856,-180681,-1590439
459420,767985,71977,-33914,-189579,757743,-184259,-1590312
260817,747066,198921,-25694,-70719,733927,-235661,-1590062
387723,1123648,6232,-18741,-47929,1095222,-110305,-1588007
286312,1082640,106519,-17086,50035,1054827,-165959,-1587941
158647,1202205,-47227,-23893,-84481,1173463,-3862,-1585780
364835,1094624,-111080,-27974,-214536,1071161,-6829,-1585344
487551,1095639,197490,-22238,211731,1069647,-295958,-1584946
478940,1190680,-9018,-30828,5010,1165332,-122396,-1584717
377585,1192175,-70522,-27902,-79676,1165506,-43915,-1583824
206439,1177609,171407,-28170,201660,1151530,-198102,-1583618
279735,1070882,-18336,-27701,-115296,1048074,-60651,-1583022
153008,1158631,-36616,-32388,-98768,1135006,-11131,-1581455
179503,1175191,66664,-21463,51972,1146271,-103950,-1580500
168868,777717,120873,-33724,-146460,767076,-146014,-1580481
424855,1193609,45355,-31559,71353,1168485,-152813,-1580232
172515,809530,85645,-20119,-183089,791931,-117793,-1579792
210793,1037274,196016,-31422,141757,1017180,-219687,-1579150
499869,1163371,-122395,-21319,-161174,1134773,-34064,-1578585
462916,952629,-43749,-23292,-206070,931751,-89253,-1578506
318978,639042,197165,-27585,-122135,630244,-249977,-1578380
189447,1029612,16144,-16992,-115159,1003486,-64757,-1578081
301948,1175685,-130437,-16764,-199991,1144703,26274,-1577391
447178,1045671,158116,-24520,115159,1022299,-252362,-1576468
278487,1194574,122786,-25391,166558,1166733,-177325,-1575348
251399,744304,113176,-27938,-162254,732232,-162012,-1575078
171262,972288,-47664,-31147,-230579,954190,-6920,-1574536
339884,1012138,-30882,-19063,-160639,987482,-66560,-1573662
