x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,y
65029,355810,168864,610781,17625,329339,-2367604,688178,262073,-1724142
152878,-682058,293598,1124629,54028,233731,-1426738,1080337,71139,-1678910
139060,1495139,85800,-1134986,7386,-404814,-1615858,-283149,850282,-1587203
151262,987677,338440,-348067,-22136,-219143,-1051194,506614,585955,-1582025
80589,-435683,308573,2492262,-2406,-467153,-2081202,2229485,-89434,-1528792
120263,253100,231221,2009883,24781,2174472,-1948775,1139157,547709,-1470600
71103,-996297,70669,-581188,51795,-803786,-1460165,-187008,-212209,-1431441
67531,-947070,14579,2228061,70179,9847,-1479539,1647029,12864,-1412322
89953,481333,179135,-224432,4449,-465340,-2345158,48091,283696,-1361513
122706,-738395,242202,2143671,35870,1470207,-1442316,1112537,418693,-1307070
105745,-387244,245255,1911685,-49142,218149,-2386161,1354304,-142305,-1183877
45683,-182256,150963,965032,55632,-873980,-1790594,1304318,-422228,-1183226
73240,-665505,293566,874572,-10543,378359,-1734756,512839,-21684,-1112670
99097,259641,203350,2824020,34479,682764,-1501183,1922827,712353,-1102343
119657,-783141,38142,2283887,94533,1210803,-1957983,753899,627699,-1076304
161076,1558932,69864,-61683,-59888,543359,-1859883,770053,-377234,-1057387
164182,611685,45880,619941,29351,1662061,-1345607,737358,-389511,-953442
78053,445895,320021,1609623,36044,-1216519,-1558581,1445740,642694,-918545
102669,507177,355261,1074835,51196,7474,-1744915,842789,417827,-865637
162489,-338777,207907,1476423,77637,1215131,-1629310,682650,87529,-820838
135473,38270,260485,-530207,14496,1801837,-1006197,-432848,-210642,-809140
92255,-481137,297110,2587356,-53457,615105,-2170784,1468556,92595,-787279
65532,-139557,198621,2031102,49414,626939,-1892303,1605088,-503296,-757190
97826,-152174,358035,3185862,23853,-386475,-1826501,2290507,231891,-713599
122586,612877,12359,1893738,-544,-13484,-1568365,1589742,55423,-699443
156190,-53455,64933,1856049,-61161,-335731,-1394988,783005,933231,-579991
104922,-85322,309447,2273440,18669,54134,-1580089,1791218,-260711,-546909
169355,-708234,342774,1846530,48683,777994,-1051424,562712,722736,-526841
106999,-601126,103922,1491055,2579,-301377,-2635145,514576,-100207,-511068
89272,954587,29300,1125657,67726,-68894,-1394469,877708,392007,-480013
162539,497031,269785,-4072,30044,-429426,-1069609,287733,-118989,-318659
161116,-502424,114901,1534891,41432,68511,-2029399,921841,-752645,-199637
64408,-398250,179712,2902732,39950,423244,-1949188,1300089,321203,-145692
47361,172765,237986,1236337,32323,855189,-2136137,367920,-81760,-111468
86094,-964758,288827,1554294,2439,644283,-2406547,-170371,266275,-20340
47081,-897049,33432,3058250,53416,103512,-1976039,954187,575267,29282
103506,829545,316003,1795978,29479,496225,-1080361,1127325,201463,248970
91920,369420,330936,2531114,-44180,1511264,-1474728,1003791,427172,256217
150535,30244,20848,3044164,-4814,573370,-2235176,827783,596523,523169
56972,709337,229372,1534431,22934,404268,-1279503,360055,626008,543287
57658,409239,283686,1798479,-38151,875415,-1618580,370513,405546,562383
104336,799440,179108,1995369,53605,1318333,-1436677,1267237,-752292,710318
60329,351491,35307,1280232,32587,20510,-1838857,89220,86107,716362
64105,608409,21076,1764587,-25009,-350573,-1932144,-55466,1114830,739917
79731,561482,10540,2168107,6442,-663702,-1827798,1277307,-367664,749479
57973,-866149,136591,4260390,-29955,-465003,-2497371,1680662,178445,830082
58569,-640071,225370,1561969,-21435,831276,-1628354,-515420,445905,949052
109171,861939,126121,1414693,8253,532027,-1075031,761380,-497755,1027866
99987,886211,175586,2743899,-38625,132887,-2062577,1131274,171302,1088184
143276,582229,136021,1421034,-3043,-374136,-1460656,-508576,1347400,1088808
109889,-20540,10808,2996801,-61601,589579,-1611511,701608,277445,1360222
67448,161905,170416,4615288,56758,910045,-1525817,2051171,249193,1382559
122938,-684198,320065,2433725,-56946,776898,-1435765,201685,-201323,1717095
60437,-891848,231253,3266432,79001,1017637,-2121006,110966,-154426,2276303
122077,-467128,43792,3204054,-39201,-15242,-1034212,530289,73638,2373749
136999,-664254,97617,1973256,-83402,1611133,-1470690,-1587696,586059,2840004
103399,-294152,277953,4185748,123310,525936,-2391105,301577,468022,2971257
89796,377103,216960,2883789,-11955,50756,-1044586,431995,-117806,3050259
78434,2071255,299454,2946511,-3999,429997,-1898857,712316,-232961,3494643
131464,1462421,363622,5356859,22082,514713,-2556732,1885772,90150,3509397
85261,-265995,259697,1969658,-11730,1353609,-1049107,-1140625,-59701,3523662
77663,-478486,50261,4046711,31890,-973607,-2539708,58244,363125,3547463
